Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,ASV,SUM,Percent,pm8,p14,C3,C4,C5,C6,C7,P1,P10,P11,P12,P13,C2,Pm8,P2,P3,P4,P5,P6,P7,PC3,P9,PC10,PC11,PC12,PC13,PC14,PC15,PC2,P8,PC4,PC5,PC6,PC8,PC9,c10,c11,c12,c13,c14,c15,c8,c9,pm1,pm10,pm11,pm12,pm13,pm14,pm15,pm2,pm3,pm4,pm5,pm6,pm7,P15,pm9
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__unclassified_g__Streptococcus,ASV41,13255,0.0127840484395,61,90,186,71,56,50,76,151,62,17,226,1609,68,744,172,269,15,149,32,1605,329,42,752,99,827,746,55,143,101,1263,108,162,26,123,257,93,111,81,104,83,68,79,93,172,124,151,105,117,86,108,149,153,74,95,99,124,102,142
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_histicola,ASV64,8988,0.00866865540359,676,0,63,413,274,373,261,113,0,115,109,0,153,0,0,63,0,494,0,0,618,0,0,0,0,52,25,0,0,0,160,0,0,0,98,335,226,265,277,217,276,263,235,250,176,248,208,114,163,227,194,155,99,122,216,193,337,132
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Capnocytophaga,s__Capnocytophaga_granulosa,ASV134,2661,0.00256645438684,0,0,109,35,70,22,42,53,0,0,0,48,41,0,182,130,0,0,0,0,0,0,36,0,35,0,0,0,0,0,3,0,0,0,0,72,35,73,78,51,0,41,60,199,77,84,87,71,38,0,156,128,111,122,113,54,91,114
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__unclassified_g__Porphyromonas,ASV16,11798,0.0113788158046,0,43,0,239,455,204,379,0,534,121,975,105,134,0,0,90,325,68,247,0,186,557,64,25,62,213,183,232,0,0,0,0,115,311,0,494,649,453,691,496,371,429,445,111,102,105,87,122,126,166,125,142,105,127,155,124,195,111
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnoanaerobaculum,s__unclassified_g__Lachnoanaerobaculum,ASV136,3272,0.00315574549183,33,36,24,32,127,62,57,22,0,0,0,0,17,222,0,28,0,59,0,50,135,0,0,0,0,16,0,0,0,0,29,0,4,0,0,113,95,91,153,65,96,72,89,192,96,94,78,67,78,60,121,144,109,100,94,112,95,105
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Oribacterium,s__unclassified_g__Oribacterium,ASV47,3447,0.0033245277232,0,66,15,35,101,76,82,0,29,0,117,0,47,34,23,29,62,81,8,16,100,0,0,30,167,23,47,0,21,0,0,0,0,34,69,105,85,63,118,90,111,79,104,89,102,119,99,100,103,107,56,74,59,65,92,72,149,94
d__Bacteria,k__norank_d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__unclassified_g__Fusobacterium,ASV140,2605,0.0025124440728,0,89,96,0,61,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,20,0,74,0,75,0,47,0,71,69,156,93,109,109,105,0,92,215,153,137,180,201,129,112,94
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Neisseriaceae,g__Neisseria,s__unclassified_g__Neisseria,ASV130,5531,0.00533448298145,0,268,214,22,31,27,35,0,45,0,8,1243,16,25,105,0,0,0,219,292,0,0,256,0,199,135,0,24,39,139,19,4,0,106,71,0,21,23,19,12,12,15,0,321,51,42,89,55,39,62,305,243,171,87,95,113,122,92
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Gemellaceae,g__Gemella,s__unclassified_g__Gemella,ASV13,8682,0.00837352761615,122,0,96,89,0,72,124,817,179,182,116,89,104,133,127,160,79,204,62,546,141,652,431,101,510,290,252,620,0,210,0,0,0,477,0,86,108,83,94,90,83,78,87,86,67,49,61,58,60,63,86,62,61,57,74,42,73,89
d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Corynebacteriales,f__Nocardiaceae,g__Rhodococcus,s__unclassified_g__Rhodococcus,ASV49,10642,0.0102638886076,0,0,0,0,10,6,3,0,3,0,38,0,9,183,11,8,120,23,3,154,21,222,29,40,890,156,43,67,528,1093,103,1402,2841,542,27,25,9,8,12,10,11,8,12,338,47,53,106,153,58,63,183,206,89,118,311,75,85,87
